Address,Transactions,Year,Month,List Price,Sold Price,Sold/List Ratio,Property Type,SqFt,Beds,Baths
"228 31 Avenue Northwest, Calgary ",1,2025,January,"$759,900","$759,900",100%,House,"1,098",3,2
"12 Yorkstone Rise Southwest, Calgary ",1,2024,November,"$559,490","$537,490",96%,Not Applicable,"1,409",3,2
"#2115 2280 68 Street Northeast, Calgary ",1,2024,December,"$294,900","$289,500",98%,High Rise Apartment,980,2,2
"#2 1922 25A Street Southwest, Calgary ",1,2024,October,"$684,900","$678,000",99%,Not Applicable,"1,339",3,3
"43 Hidden Creek Rise Northwest, Calgary ",1,2024,October,"$480,000","$480,000",100%,Half Duplex,"1,376",2,2
"19 Rocky Vista Terrace Northwest, Calgary ",1,2024,October,"$589,500","$572,500",97%,Not Applicable,"1,629",3,3
"29 Kincora Street Northwest, Calgary ",1,2024,November,"$809,900","$795,000",98%,House,"2,508",5,3
"#104 1315 12 Avenue Southwest, Calgary ",1,2024,December,"$259,900","$270,000",104%,High Rise Apartment,703,1,1
"215 Creekstone Way Southwest, Calgary ",1,2025,January,"$569,900","$575,000",101%,Half Duplex,"1,468",3,2
"56 Millbank Close Southwest, Calgary ",1,2024,October,"$649,900","$652,500",100%,House,"1,893",6,3
"#2206 221 6 Avenue Southeast, Calgary ",1,2024,October,"$259,900","$248,000",95%,High Rise Apartment,917,2,1
"12 Brightondale Crescent Southeast, Calgary ",1,2024,October,"$635,000","$607,500",96%,House,"1,269",3,2
"#5204 200 Seton Circle Southeast, Calgary ",1,2024,November,"$375,000","$360,000",96%,High Rise Apartment,702,2,2
"4704 North Haven Drive Northwest, Calgary ",1,2024,November,"$699,000","$687,500",98%,House,"1,305",4,2
"228 Pinecrest Crescent Northeast, Calgary ",1,2024,October,"$689,000","$670,000",97%,House,"1,113",3,3
"#106 60 Royal Oak Plaza Northwest, Calgary ",1,2024,November,"$268,000","$259,000",97%,High Rise Apartment,595,1,1
"524 7A Street Northeast, Calgary ",1,2024,August,"$749,900","$749,900",100%,House,"1,231",6,2
"#205A 4455 Greenview Drive, Calgary ",1,2024,October,"$214,900","$225,000",105%,High Rise Apartment,687,1,1
"#25 75 Erin Croft Crescent Southeast, Calgary ",1,2024,November,"$319,000","$317,000",99%,Not Applicable,"1,108",3,1
"47 Fairview Crescent Southeast, Calgary ",1,2024,October,"$499,000","$555,000",111%,House,"1,037",4,2
"#6111 155 Skyview Ranch Way Northeast, Calgary ",1,2024,October,"$285,000","$286,000",100%,High Rise Apartment,821,2,2
"61 Legacy Path Southeast, Calgary ",1,2024,November,"$440,000","$430,000",98%,Not Applicable,"1,252",2,2
"#2105 13045 6 Street Southwest, Calgary ",1,2024,October,"$239,900","$240,000",100%,High Rise Apartment,819,2,2
"79 Woodfield Crescent Southwest, Calgary ",1,2024,October,"$685,000","$715,500",104%,House,"1,554",3,2
"#2213 43 Country Village Lane Northeast, Calgary ",1,2024,October,"$324,900","$324,900",100%,High Rise Apartment,842,2,2
"139 Howse Crescent Northeast, Calgary ",1,2024,November,"$710,000","$700,000",99%,House,"1,516",4,3
"1824 Bowness Road Northwest, Calgary ",1,2024,November,"$1,198,800","$1,135,000",95%,House,"1,938",3,
"274 Seton Villas Southeast, Calgary ",1,2024,October,"$799,999","$885,000",111%,House,"2,455",7,5
"#3502 60 Skyview Ranch Road Northeast, Calgary ",1,2024,November,"$389,888","$382,000",98%,High Rise Apartment,964,2,2
"#2307 350 Livingston Common Northeast, Calgary ",1,2024,October,"$299,900","$285,000",95%,High Rise Apartment,543,1,1
"#206 327 9A Street Northwest, Calgary ",1,2024,October,"$339,900","$325,000",96%,High Rise Apartment,522,1,1
"100 Martinwood Way Northeast, Calgary ",1,2024,October,"$465,000","$410,000",88%,House,"1,038",2,1
"112 Hidden Park Northwest, Calgary ",1,2024,October,"$637,000","$640,000",100%,House,"1,584",4,2
"203 Silver Spruce Grove Southwest, Calgary ",1,2024,November,"$752,379","$746,261",99%,House,"1,892",3,2
"136 Citadel Close Northwest, Calgary ",1,2024,October,"$624,900","$620,000",99%,House,"1,621",3,2
"#307 16 Sage Hill Terrace Northwest, Calgary ",1,2024,November,"$335,000","$312,000",93%,High Rise Apartment,801,2,2
"#1616 1053 10 Street Southwest, Calgary ",1,2024,October,"$345,000","$328,000",95%,High Rise Apartment,735,2,2
"12032 Elbow Drive Southwest, Calgary ",1,2024,October,"$849,900","$870,000",102%,House,"1,415",4,2
"#3304 60 Panatella Street Northwest, Calgary ",1,2025,January,"$319,900","$298,000",93%,High Rise Apartment,844,2,2
"#7V 130 Panatella Street Northwest, Calgary ",1,2024,October,"$249,800","$232,000",93%,High Rise Apartment,530,1,1
"315 Taralake Way Northeast, Calgary ",1,2024,October,"$444,900","$440,500",99%,Not Applicable,"1,502",3,2
"#205 1613 11 Avenue Southwest, Calgary ",1,2024,December,"$189,900","$185,000",97%,High Rise Apartment,557,1,1
"2121 Bowness Road Northwest, Calgary ",1,2024,October,"$800,000","$840,000",105%,House,"1,185",2,1
"10054 Hidden Valley Drive Northwest, Calgary ",1,2024,October,"$999,900","$960,000",96%,House,"2,258",4,3
"#4 59 West Coach Manor Southwest, Calgary ",1,2024,October,"$349,900","$345,000",99%,House,841,2,2
"192 Hidden Spring Circle Northwest, Calgary ",1,2024,October,"$569,000","$585,000",103%,House,"1,358",4,2
"148 Magnolia Common Southeast, Calgary ",1,2024,October,"$749,900","$753,000",100%,House,"1,732",5,3
"163 Auburn Sound Manor Southeast, Calgary ",1,2024,October,"$1,399,900","$1,435,000",103%,House,"2,804",3,2
"608 Skyview Ranch Grove Northeast, Calgary ",1,2024,October,"$465,000","$458,000",98%,Not Applicable,"1,236",2,3
"#102 630 10 Street Northwest, Calgary ",1,2024,October,"$429,900","$415,000",97%,High Rise Apartment,"1,032",2,2
"43 Panorama Hills Crescent Northwest, Calgary ",1,2024,December,"$762,000","$739,000",97%,House,"2,306",5,3
"93 Shawnee Rise Southwest, Calgary ",1,2024,October,"$735,000","$735,000",100%,Half Duplex,"1,573",3,2
"7 Skyview Point Link, Calgary ",1,2024,October,"$429,999","$428,500",100%,Not Applicable,"1,542",3,2
"70 Auburn Springs Close Southeast, Calgary ",1,2024,October,"$799,900","$795,000",99%,House,"2,139",3,2
"#424 400 Auburn Meadows Common Southeast, Calgary ",1,2024,November,"$359,900","$350,000",97%,High Rise Apartment,698,2,2
"#2216 151 Skyview Bay Northeast, Calgary ",1,2024,November,"$389,900","$385,000",99%,Not Applicable,"1,056",2,2
"50 Somerside Crescent Southwest, Calgary ",1,2024,October,"$600,000","$625,000",104%,House,"1,757",3,2
"20 Lake Lucerne Close Southeast, Calgary ",1,2024,November,"$849,900","$798,000",94%,House,"1,288",4,3
"205 Country Village Manor Northeast, Calgary ",1,2024,October,"$424,900","$424,900",100%,Not Applicable,"1,253",3,2
"70 Harvest Oak View Northeast, Calgary ",1,2024,December,"$625,000","$618,000",99%,House,"1,505",4,3
"223 31 Avenue Northeast, Calgary ",1,2024,October,"$598,800","$598,800",100%,House,872,3,2
"8 Dovercroft Place Southeast, Calgary ",1,2024,October,"$499,000","$486,500",97%,House,"1,011",4,2
"27 Chatham Drive Northwest, Calgary ",1,2024,October,"$739,900","$756,000",102%,House,"1,143",3,3
"113 Marmot Walk Northwest, Calgary ",1,2024,October,"$719,900","$719,900",100%,House,"1,899",4,3
"105 Marmot Walk Northwest, Calgary ",1,2024,November,"$719,900","$719,900",100%,House,"1,787",4,3
"206 Marmot Walk Northwest, Calgary ",1,2024,November,"$729,900","$729,900",100%,House,"1,899",4,3
"128 Woodfield Close Southwest, Calgary ",1,2024,October,"$599,900","$599,600",100%,House,"1,464",4,3
"3208 26A Street Southwest, Calgary ",1,2024,November,"$849,000","$840,000",99%,House,"1,107",4,1
"#1 1934 36 Street Southwest, Calgary ",1,2024,December,"$649,900","$621,500",96%,Not Applicable,"1,175",3,2
"23 Seton Row Southeast, Calgary ",1,2024,December,"$518,000","$510,000",98%,Not Applicable,"1,355",2,2
"#1705 1088 6 Avenue Southwest, Calgary ",1,2024,December,"$480,000","$459,250",96%,High Rise Apartment,"1,035",2,2
"2110 1 Avenue Northwest, Calgary ",1,2024,October,"$749,900","$825,000",110%,House,"1,838",3,4
"14 Cougar Ridge Bay Southwest, Calgary ",1,2024,October,"$645,000","$625,000",97%,Half Duplex,"1,404",3,2
"#3202 60 Panatella Street Northwest, Calgary ",1,2024,October,"$320,000","$313,000",98%,High Rise Apartment,980,2,2
"#305 333 Garry Crescent Northeast, Calgary ",1,2024,November,"$165,000","$160,000",97%,High Rise Apartment,699,1,1
"1288 Cornerstone Way Northeast, Calgary ",1,2025,January,"$639,000","$625,000",98%,Half Duplex,"1,418",4,3
"#525 72 Cornerstone Manor Northeast, Calgary ",1,2025,January,"$484,500","$475,000",98%,Not Applicable,"1,602",3,2
"34 Lewiston Way, Calgary ",1,2024,December,"$579,000","$575,000",99%,Half Duplex,"1,593",3,2
"163 Woodglen Close Southwest, Calgary ",1,2024,October,"$489,900","$520,000",106%,House,"1,036",4,2
"52 Chancellor Way Northwest, Calgary ",1,2024,October,"$549,900","$480,000",87%,House,"1,087",1,1
"51 Cranleigh Common Southeast, Calgary ",1,2024,December,"$814,900","$802,500",98%,House,"2,016",3,2
"202 Yorkville Green Southwest, Calgary ",1,2024,November,"$584,900","$578,000",99%,Half Duplex,"1,742",3,2
"99 Auburn Glen Green Southeast, Calgary ",1,2024,December,"$799,900","$785,000",98%,House,"2,138",4,2
"240 Lake Bonavista Drive Southeast, Calgary ",1,2024,October,"$749,900","$750,000",100%,House,"1,405",4,3
"223 Queensland Circle Southeast, Calgary ",1,2024,October,"$579,000","$572,000",99%,House,"1,269",4,2
"8 Granville Crescent Southwest, Calgary ",1,2024,October,"$1,668,000","$1,668,000",100%,House,"2,531",6,3
"322 Carringwood Close Northwest, Calgary ",1,2024,November,"$779,000","$768,888",99%,House,"2,505",4,2
"120 Midbend Place Southeast, Calgary ",1,2024,October,"$475,000","$466,750",98%,Not Applicable,988,2,2
"71 Evergreen Grove Southwest, Calgary ",1,2024,October,"$765,000","$765,000",100%,House,"1,526",2,2
"821 23 Avenue Northwest, Calgary ",1,2024,October,"$875,000","$855,000",98%,House,856,2,1
"130 Aspen Summit Drive Southwest, Calgary ",1,2024,October,"$1,619,000","$1,550,000",96%,House,"2,949",5,3
"103 Templeton Circle Northeast, Calgary ",1,2024,November,"$499,900","$484,000",97%,House,"1,129",3,2
"6319 Travois Crescent Northwest, Calgary ",1,2024,November,"$599,999","$594,000",99%,House,973,4,2
"310 Crestridge Common Southwest, Calgary ",1,2024,October,"$539,900","$530,000",98%,Not Applicable,"1,560",2,2
"145 Macewan Ridge Villas Northwest, Calgary ",1,2024,November,"$469,800","$465,000",99%,House,998,3,2
"#517 30 Discovery Ridge Close Southwest, Calgary ",1,2024,November,"$334,900","$330,000",99%,High Rise Apartment,795,1,1
"4057 Norford Avenue Northwest, Calgary ",1,2024,October,"$698,000","$680,000",97%,Not Applicable,"1,480",3,2
"222 Coral Cove Northeast, Calgary ",1,2024,October,"$439,900","$425,000",97%,Not Applicable,"1,354",3,3
"#1212 215 Legacy Boulevard Southeast, Calgary ",1,2024,October,"$249,900","$249,900",100%,High Rise Apartment,484,1,1
"#205 5720 2 Street Southwest, Calgary ",1,2024,November,"$385,000","$362,000",94%,High Rise Apartment,968,2,2
"307 Midridge Road Southeast, Calgary ",1,2024,October,"$575,000","$575,000",100%,House,"1,423",3,2
"311 Hawkdale Bay Northwest, Calgary ",1,2024,November,"$999,900","$933,000",93%,House,"2,263",4,3
"334 Hawkview Manor Circle Northwest, Calgary ",1,2024,October,"$929,000","$934,500",101%,House,"2,087",5,3
"#302 2702 17 Avenue Southwest, Calgary ",1,2024,December,"$379,900","$373,500",98%,High Rise Apartment,672,2,2
"9508 Oakland Road Southwest, Calgary ",1,2024,October,"$879,900","$883,000",100%,House,"1,263",4,2
"60 Governor Drive Southwest, Calgary ",1,2024,December,"$619,000","$598,000",97%,House,"1,053",4,2
"4512 19 Avenue Southwest, Calgary ",1,2024,October,"$729,000","$811,000",111%,House,990,3,1
"123 Fawn Crescent Southeast, Calgary ",1,2024,October,"$539,900","$550,000",102%,House,"1,062",4,2
"48 Auburn Meadows Crescent Southeast, Calgary ",1,2024,October,"$810,000","$800,000",99%,House,"2,265",3,2
"4604 3 Street Northeast, Calgary ",1,2024,December,"$569,900","$550,000",97%,House,959,4,1
"172 Tuscarora Heights Northwest, Calgary ",1,2025,January,"$750,000","$722,000",96%,House,"1,969",4,2
"721 4 Avenue Northeast, Calgary ",1,2024,December,"$974,800","$925,000",95%,House,"1,598",5,3
"1916 9A Avenue Northeast, Calgary ",1,2024,October,"$675,000","$701,000",104%,House,"1,063",4,2
"31 Legacy Glen Rise Southeast, Calgary ",1,2024,November,"$640,000","$628,500",98%,House,"1,618",3,2
"7 Templeson Road Northeast, Calgary ",1,2024,October,"$575,000","$565,000",98%,House,"1,104",4,2
"1680 Evergreen Hill Southwest, Calgary ",1,2024,October,"$1,248,800","$1,227,500",98%,House,"2,771",4,3
"235 Lake Mead Road Southeast, Calgary ",1,2024,October,"$999,900","$1,100,000",110%,House,"1,893",5,3
"#214 1811 34 Avenue Southwest, Calgary ",1,2024,October,"$365,000","$380,000",104%,High Rise Apartment,875,2,2
"#320 8710 Horton Road Southwest, Calgary ",1,2024,November,"$379,990","$376,000",99%,High Rise Apartment,"1,034",2,2
"904 Canford Crescent Southwest, Calgary ",1,2024,October,"$599,000","$584,000",97%,House,"1,344",4,1
"#3141 1818 Simcoe Boulevard Southwest, Calgary ",1,2024,October,"$265,000","$265,000",100%,High Rise Apartment,698,1,1
"2015 Palisprior Road Southwest, Calgary ",1,2024,December,"$850,000","$839,500",99%,House,"1,244",4,2
"#2214 151 Skyview Bay Northeast, Calgary ",1,2024,December,"$389,900","$382,700",98%,Not Applicable,"1,056",2,2
"269 Ambleside Avenue, Calgary ",1,2024,December,"$769,900","$750,000",97%,House,"2,220",3,2
"#606 817 15 Avenue Southwest, Calgary ",1,2024,November,"$399,900","$380,000",95%,High Rise Apartment,628,1,1
"110 Elgin Place Southeast, Calgary ",1,2024,October,"$509,900","$505,000",99%,Half Duplex,"1,136",2,2
"78 Legacy Reach Bay Southeast, Calgary ",1,2024,December,"$634,900","$622,000",98%,House,"1,615",3,
"#140 8500 19 Avenue Southeast, Calgary ",1,2024,November,"$485,430","$485,430",100%,Not Applicable,"1,589",4,3
"252 Belvedere Drive Southeast, Calgary ",1,2024,December,"$859,900","$820,000",95%,House,"2,168",4,3
"326 Legacy Village Way Southeast, Calgary ",1,2024,October,"$535,000","$540,000",101%,Not Applicable,"1,449",3,2
"151 Prestwick Villas Southeast, Calgary ",1,2024,October,"$429,900","$435,000",101%,Not Applicable,"1,264",3,2
"#203 108 15 Avenue Southeast, Calgary ",1,2025,January,"$345,000","$330,000",96%,High Rise Apartment,813,2,1
"94 Panton View Northwest, Calgary ",1,2024,October,"$1,157,777","$1,100,000",95%,House,"3,068",5,4
"4316 35 Avenue Southwest, Calgary ",1,2024,October,"$759,500","$825,000",109%,House,984,5,2
"37 Everhollow Park Southwest, Calgary ",1,2024,December,"$759,900","$750,000",99%,House,"2,189",4,3
"147 Skyview Springs Manor Northeast, Calgary ",1,2024,October,"$549,900","$555,000",101%,House,"1,306",3,2
"28 Saddlelake Mews Northeast, Calgary ",1,2024,October,"$519,900","$505,000",97%,Not Applicable,"1,509",3,2
"#202 1821 17A Street Southwest, Calgary ",1,2024,December,"$250,000","$235,438",94%,High Rise Apartment,837,2,1
"148 Mt Allan Circle Southeast, Calgary ",1,2024,October,"$499,800","$499,800",100%,House,"1,004",3,2
"310 Evanspark Circle Northwest, Calgary ",1,2024,November,"$875,000","$840,000",96%,House,"2,382",4,3
"10886 Harvest Lake Way Northeast, Calgary ",1,2024,November,"$699,900","$685,500",98%,House,"1,867",5,3
"138 Cornerbrook Crescent Northeast, Calgary ",1,2024,November,"$759,000","$745,000",98%,House,"2,004",4,3
"825 20 Avenue Northwest, Calgary ",1,2024,October,"$768,800","$800,000",104%,House,872,2,2
"6725 41 Avenue Northeast, Calgary ",1,2024,October,"$486,000","$490,000",101%,Half Duplex,916,5,2
"100 Deerbow Circle Southeast, Calgary ",1,2024,October,"$550,000","$603,900",110%,House,"1,145",4,2
"317 Sovereign Common Southwest, Calgary ",1,2024,October,"$779,900","$787,775",101%,Not Applicable,"1,681",3,2
"#106 1817 14A Street Southwest, Calgary ",1,2024,November,"$270,000","$242,000",90%,High Rise Apartment,907,2,1
"#1904 220 12 Avenue Southeast, Calgary ",1,2024,October,"$334,999","$325,000",97%,High Rise Apartment,603,1,1
"188 Hotchkiss Drive Southeast, Calgary ",1,2024,October,"$579,999","$573,000",99%,Half Duplex,"1,703",3,2
"33 Harvard Street Northwest, Calgary ",1,2024,December,"$1,099,000","$1,075,000",98%,House,"1,977",5,3
"170 Cityscape Way Northeast, Calgary ",1,2024,November,"$649,900","$650,000",100%,House,"1,842",3,2
"Suite420 955 McPherson Road Northeast, Calgary ",1,2024,December,"$299,000","$287,500",96%,High Rise Apartment,608,1,1
"203 Auburn Meadows Southeast, Calgary ",1,2024,November,"$490,000","$490,000",100%,Not Applicable,"1,245",2,2
"132 Beaconsfield Way Northwest, Calgary ",1,2024,November,"$580,000","$559,092",96%,House,"1,222",4,3
"8416 7 Street Southwest, Calgary ",1,2024,December,"$619,900","$612,500",99%,House,"1,342",3,2
"6203 Pineridge Road Northeast, Calgary ",1,2024,October,"$599,900","$615,000",103%,House,"1,138",4,2
"#11 7720 39 Avenue Northwest, Calgary ",1,2024,October,"$255,000","$255,000",100%,High Rise Apartment,828,2,1
"30 Wolf Creek Manor Southeast, Calgary ",1,2024,December,"$589,900","$570,000",97%,House,"1,574",3,2
"236 Valley Brook Court Northwest, Calgary ",1,2024,October,"$725,000","$725,000",100%,House,"2,074",4,3
"#1218 1218 Lake Fraser Green Southeast, Calgary ",1,2024,October,"$574,900","$565,000",98%,High Rise Apartment,"1,243",2,2
"151 Mt Aberdeen Close Southeast, Calgary ",1,2024,October,"$549,900","$549,500",100%,House,815,3,2
"100 Sage Bluff Close Northwest, Calgary ",1,2024,October,"$919,900","$919,900",100%,House,"2,641",5,3
"164 Setonstone Manor Southeast, Calgary ",1,2024,December,"$709,900","$699,900",99%,House,"1,610",4,3
"#2206 395 Skyview Parkway Northeast, Calgary ",1,2024,November,"$349,900","$335,000",96%,High Rise Apartment,694,2,2
"#813 738 3 Avenue Southwest, Calgary ",1,2024,October,"$275,000","$265,000",96%,High Rise Apartment,816,2,1
"1112 140 Avenue Northwest, Calgary ",1,2024,October,"$529,990","$520,000",98%,Not Applicable,"1,375",3,2
"1213 20 Street Northwest, Calgary ",1,2024,October,"$1,100,000","$1,050,000",95%,House,"1,677",2,2
"#2403 240 Skyview Ranch Road Northeast, Calgary ",1,2025,January,"$305,000","$295,300",97%,High Rise Apartment,846,2,2
"#310 290 Shawville Way Southeast, Calgary ",1,2025,January,"$285,000","$275,000",96%,High Rise Apartment,903,2,2
"203 78 Avenue Southeast, Calgary ",1,2024,November,"$574,649","$570,000",99%,House,"1,125",4,1
"167 Wood Valley Rise Southwest, Calgary ",1,2024,October,"$630,000","$645,000",102%,House,"1,320",3,3
"1857 Carrington Boulevard Northwest, Calgary ",1,2024,October,"$549,000","$549,000",100%,Not Applicable,"1,438",3,3
"15 Tuscany Ridge Park, Calgary ",1,2024,December,"$949,900","$924,000",97%,House,"2,374",5,4
"#506 857 Belmont Drive Southwest, Calgary ",1,2025,January,"$488,000","$481,500",99%,Not Applicable,"1,301",3,2
